opcode,mnemonic,addressing mode,bytes,cycles,page cross,unofficial opcode
0x05,ORA,ZP,2,3,no,no
0x15,ORA,ZPX,2,4,no,no
0x0d,ORA,ABS,3,4,no,no
0x1d,ORA,ABSX,3,4,yes,no
0x19,ORA,ABSY,3,4,yes,no
0x01,ORA,INDX,2,6,no,no
0x11,ORA,INDY,2,5,yes,no

0x2a,ROL,ACC,1,2,no,no
0x26,ROL,ZP,2,5,no,no
0x36,ROL,ZPX,2,6,no,no
0x2e,ROL,ABS,3,6,no,no
0x3e,ROL,ABSX,3,7,no,no

0x6a,ROR,ACC,1,2,no,no
0x66,ROR,ZP,2,5,no,no
0x76,ROR,ZPX,2,6,no,no
0x6e,ROR,ABS,3,6,no,no
0x7e,ROR,ABSX,3,7,no,no

0xe9,SBC,IMM,2,2,no,no
0xe5,SBC,ZP,2,3,no,no
0xf5,SBC,ZPX,2,4,no,no
0xed,SBC,ABS,3,4,no,no
0xfd,SBC,ABSX,3,4,yes,no
0xf9,SBC,ABSY,3,4,yes,no
0xe1,SBC,INDX,2,6,no,no
0xf1,SBC,INDY,2,5,yes,no

0x85,STA,ZP,2,3,no,no
0x95,STA,ZPX,2,4,no,no
0x8d,STA,ABS,3,4,no,no
0x9d,STA,ABSX,3,5,no,no
0x99,STA,ABSY,3,5,no,no
0x81,STA,INDX,2,6,no,no
0x91,STA,INDY,2,6,no,no

0x86,STX,ZP,2,3,no,no
0x96,STX,ZPY,2,4,no,no
0x8e,STX,ABS,3,4,no,no
0x84,STY,ZP,2,3,no,no
0x94,STY,ZPX,2,4,no,no
0x8c,STY,ABS,3,4,no,no

0x04,NOP,ZP,2,3,no,yes
0x44,NOP,ZP,2,3,no,yes
0x64,NOP,ZP,2,3,no,yes
0x14,NOP,ZPX,2,4,no,yes
0x34,NOP,ZPX,2,4,no,yes
0x54,NOP,ZPX,2,4,no,yes
0x74,NOP,ZPX,2,4,no,yes
0xd4,NOP,ZPX,2,4,no,yes
0xf4,NOP,ZPX,2,4,no,yes
0x0c,NOP,ABS,3,4,no,yes
0x1c,NOP,ABSX,3,4,yes,yes
0x3c,NOP,ABSX,3,4,yes,yes
0x5c,NOP,ABSX,3,4,yes,yes
0x7c,NOP,ABSX,3,4,yes,yes
0xdc,NOP,ABSX,3,4,yes,yes
0xfc,NOP,ABSX,3,4,yes,yes

0x1a,NOP,IMP,1,2,no,yes
0x3a,NOP,IMP,1,2,no,yes
0x5a,NOP,IMP,1,2,no,yes
0x7a,NOP,IMP,1,2,no,yes
0xda,NOP,IMP,1,2,no,yes
0xfa,NOP,IMP,1,2,no,yes

0x02,HLT,IMP,1,2,no,yes
0x12,HLT,IMP,1,2,no,yes
0x22,HLT,IMP,1,2,no,yes
0x32,HLT,IMP,1,2,no,yes
0x42,HLT,IMP,1,2,no,yes
0x52,HLT,IMP,1,2,no,yes
0x62,HLT,IMP,1,2,no,yes
0x72,HLT,IMP,1,2,no,yes
0x92,HLT,IMP,1,2,no,yes
0xb2,HLT,IMP,1,2,no,yes
0xd2,HLT,IMP,1,2,no,yes
0xf2,HLT,IMP,1,2,no,yes

0x80,NOP,IMM,2,2,no,yes
0x82,NOP,IMM,2,2,no,yes
0x89,NOP,IMM,2,2,no,yes
0xc2,NOP,IMM,2,2,no,yes
0xe2,NOP,IMM,2,2,no,yes

0x07,SLO,ZP,2,5,no,yes
0x17,SLO,ZPX,2,6,no,yes
0x0f,SLO,ABS,3,6,no,yes
0x1f,SLO,ABSX,3,7,no,yes
0x1b,SLO,ABSY,3,7,no,yes
0x03,SLO,INDX,2,8,no,yes
0x13,SLO,INDY,2,8,no,yes

0xe7,ISB,ZP,2,5,no,yes
0xf7,ISB,ZPX,2,6,no,yes
0xef,ISB,ABS,3,6,no,yes
0xff,ISB,ABSX,3,7,no,yes
0xfb,ISB,ABSY,3,7,no,yes
0xe3,ISB,INDX,2,8,no,yes
0xf3,ISB,INDY,2,8,no,yes

0x47,SRE,ZP,2,5,no,yes
0x57,SRE,ZPX,2,6,no,yes
0x4f,SRE,ABS,3,6,no,yes
0x5f,SRE,ABSX,3,7,no,yes
0x5b,SRE,ABSY,3,7,no,yes
0x43,SRE,INDX,2,8,no,yes
0x53,SRE,INDY,2,8,no,yes

0x67,RRA,ZP,2,5,no,yes
0x77,RRA,ZPX,2,6,no,yes
0x6f,RRA,ABS,3,6,no,yes
0x7f,RRA,ABSX,3,7,no,yes
0x7b,RRA,ABSY,3,7,no,yes
0x63,RRA,INDX,2,8,no,yes
0x73,RRA,INDY,2,8,no,yes

0xa7,LAX,ZP,2,3,no,yes
0xb7,LAX,ZPY,2,4,no,yes
0xaf,LAX,ABS,3,4,no,yes
0xbf,LAX,ABSY,3,4,yes,yes
0xa3,LAX,INDX,2,6,no,yes
0xb3,LAX,INDY,2,5,yes,yes

0x87,SAX,ZP,2,3,no,yes
0x97,SAX,ZPY,2,4,no,yes
0x8f,SAX,ABS,3,4,no,yes
0x83,SAX,INDX,2,6,no,yes

